id,team_id,regulation,name,item,ability,tera_type,hp_evs,atk_evs,def_evs,spatk_evs,spdef_evs,spe_evs,nature,move_1,move_2,move_3,move_4
16,3,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Grass,4,252,0,0,0,252,Adamant,Flower Trick,Knock Off,Protect,Trick Room
17,3,Regulation Set A,Murkrow,Eviolite,Insomnia,Dark,252,4,140,0,108,4,Impish,Haze,Tailwind,Foul Play,Shawdow Ball
18,4,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Dark,132,0,4,244,0,124,Modest,Make It Rain,Shadow Ball,Trick,Thunderbolt
19,4,Regulation Set A,Murkrow,Eviolite,Prankster,Flying,252,0,116,0,140,0,Calm,Foul Play,Haze,Tailwind,Quash
20,4,Regulation Set A,Hydreigon,Life Orb,Levitate,Steel,4,0,0,252,0,252,Timid,Dark Pulse,Flash Cannon,Draco Meteor,Protect
21,4,Regulation Set A,Annihilape,Choice Scarf,Defiant,Water,252,100,0,0,0,156,Adamant,Final Gambit,Shadow Claw,Close Combat,U-turn
22,4,Regulation Set A,Armarouge,Covert Cloak,Flash Fire,Grass,252,0,0,252,4,0,Modest,Expanding Force,Armor Cannon,Wide Guard,Energy Ball
23,4,Regulation Set A,Dragonite,Assault Vest,Inner Focus,Normal,244,252,0,0,0,12,Adamant,Extreme Speed,Earthquake,Dragon Claw,Brick Break
24,5,Regulation Set A,Pelipper,Damp Rock,Drizzle,Grass,52,0,4,196,4,252,Modest,Tailwind,Wide Guard,Tera Blast,Hurricane
25,5,Regulation Set A,Palafin,Choice Band,Zero to Hero,Water,204,236,60,0,4,4,Adamant,Flip Turn,Jet Punch,Wave Crash,Close Combat
26,5,Regulation Set A,Kingambit,Assault Vest,Defiant,Dark,204,196,4,0,100,4,Adamant,Iron Head,Kowtow Cleave,Sucker Punch,Brick Break
27,5,Regulation Set A,Gallade,Scope Lens,Sharpness,Grass,252,36,116,0,4,100,Adamant,Protect,Sacred Sword,Leaf Blade,Psycho Cut
28,5,Regulation Set A,Rotom-Mow,Sitrus Berry,Levitate,Electric,252,0,140,108,4,4,Modest,Protect,Will-O-Wisp,Thunder,Leaf Storm
29,5,Regulation Set A,Amoonguss,Rocky Helmet,Regenerator,Water,236,0,236,0,36,0,Bold,Pollen Puff,Spore,Rage Powder,Giga Drain
30,6,Regulation Set A,Hariyama,Flame Orb,Guts,Fighting,4,252,124,0,124,4,Adamant,Fake Out,Close Combat,Wide Guard,Knock Off
31,6,Regulation Set A,Amoonguss,Wiki Berry,Regenerator,Water,252,0,212,0,44,0,Sassy,Spore,Rage Powder,Clear Smog,Protect
32,6,Regulation Set A,Frosmoth,Life Orb,Ice Scales,Electric,0,0,0,188,92,228,Modest,Ice Beam,Tera Blast,Quiver Dance,Protect
33,6,Regulation Set A,Kingambit,Assault Vest,Defiant,Flying,244,252,4,0,4,4,Adamant,Kowtow Cleave,Iron Head,Sucker Punch,Tera Blast
34,6,Regulation Set A,Farigiraf,Focus Sash,Armor Tail,Normal,252,0,0,252,4,0,Quiet,Psychic,Hyper Voice,Imprison,Trick Room
35,6,Regulation Set A,Sylveon,Throat Spray,Pixilate,Fire,92,4,156,252,4,0,Quiet,Hyper Voice,Quick Attack,Tera Blast,Protect
36,7,Regulation Set A,Murkrow,Eviolite,Prankster,Ghost,236,0,52,0,220,0,Calm,Haze,Foul Play,Tailwind,Taunt
37,7,Regulation Set A,Azumarill,Assault Vest,Huge Power,Grass,228,156,4,0,4,116,Adamant,Play Rough,Liquidation,Ice Spinner,Aqua Jet
38,7,Regulation Set A,Hydreigon,Life Orb,Levitate,Steel,76,0,4,172,4,252,Timid,Dark Pulse,Draco Meteor,Flash Cannon,Protect
39,7,Regulation Set A,Gholdengo,Leftovers,Good as Gold,Flying,236,0,4,100,148,20,Modest,Make It Rain,Shadow Ball,Nasty Plot,Protect
40,7,Regulation Set A,Rotom-Heat,Sitrus Berry,Levitate,Electric,252,0,100,116,12,28,Modest,Overheat,Thunderbolt,Will-O-Wisp,Protect
41,7,Regulation Set A,Garchomp,Haban Berry,Rough Skin,Fire,0,252,0,0,4,252,Jolly,Dragon Claw,Earthquake,Tera Blast,Protect
42,8,Regulation Set A,Hydreigon,Scope Lens,Levitate,Fire,4,0,0,252,0,252,Modest,Heat Wave,Draco Meteor,Focus Energy,Protect
43,8,Regulation Set A,Garchomp,Life Orb,Rough Skin,Fire,12,236,4,0,4,252,Jolly,Dragon Claw,Earthquake,Swords Dance,Protect
44,8,Regulation Set A,Gholdengo,Sitrus Berry,Good as Gold,Flying,100,0,12,236,12,148,Modest,Make It Rain,Shadow Ball,Nasty Plot,Protect
45,8,Regulation Set A,Amoonguss,Rocky Helmet,Regenerator,Dark,252,0,100,0,156,0,Sassy,Protect,Pollen Puff,Rage Powder,Spore
46,8,Regulation Set A,Murkrow,Eviolite,Prankster,Ghost,252,0,252,0,4,0,Bold,Foul Play,Haze,Tailwind,Torment
47,8,Regulation Set A,Maushold-Four,Wide Lens,Technician,Ghost,140,108,4,0,4,252,Jolly,Population Bomb,Encore,Follow Me,Protect
48,9,Regulation Set A,Gothitelle,Iapapa Berry,Shadow Tag,Dark,252,0,4,0,252,0,Careful,Hypnosis,Heal Pulse,Fake Out,Protect
49,9,Regulation Set A,Gyarados,Life Orb,Intimidate,Flying,4,252,0,0,0,252,Jolly,Waterfall,Tera Blast,Dragon Dance,Protect
50,9,Regulation Set A,Kingambit,Assault Vest,Defiant,Fairy,252,244,4,0,4,4,Adamant,Kowtow Cleave,Iron Head,Sucker Punch,Brick Break
51,9,Regulation Set A,Amoonguss,Wiki Berry,Regenerator,Water,252,0,20,0,236,0,Calm,Pollen Puff,Spore,Rage Powder,Protect
52,9,Regulation Set A,Azumarill,Sitrus Berry,Sap Sipper,Ground,252,0,252,0,4,0,Relaxed,Aqua Jet,Sing,Perish Song,Protect
53,9,Regulation Set A,Meowscarada,Choice Band,Protean,Grass,4,252,0,0,0,252,Adamant,Flower Trick,Knock Off,Brick Break,U-turn
54,10,Regulation Set A,Talonflame,Focus Sash,Gale Wings,Fire,4,0,0,252,0,252,Timid,Air Slash,Overheat,Protect,Tailwind
55,10,Regulation Set A,Skeledirge,Expert Belt,Unaware,Grass,92,0,124,252,4,36,Modest,Torch Song,Shadow Ball,Protect,Tera Blast
56,10,Regulation Set A,Gholdengo,Life Orb,Good as Gold,Water,4,0,0,252,0,252,Timid,Make It Rain,Shadow Ball,Protect,Nasty Plot
57,10,Regulation Set A,Annihilape,Choice Scarf,Defiant,Fighting,44,252,28,0,4,180,Adamant,Close Combat,Shadow Claw,Earthquake,Rock Slide
58,10,Regulation Set A,Tyranitar,Weakness Policy,Sand Stream,Fire,108,252,4,0,12,132,Adamant,Rock Slide,Crunch,Protect,Fire Punch
59,10,Regulation Set A,Houndstone,Spell Tag,Sand Rush,Dark,12,252,4,0,4,236,Adamant,Last Respects,Will-O-Wisp,Protect,Shadow Sneak
60,11,Regulation Set A,Baxcalibur,Loaded Dice,Thermal Exchange,Ground,252,76,4,0,4,172,Adamant,Dragon Dance,Icicle Spear,Tera Blast,Protect
61,11,Regulation Set A,Azumarill,Leftovers,Sap Sipper,Fairy,236,0,60,4,204,4,Calm,Icy Wind,Chilling Water,Perish Song,Protect
62,11,Regulation Set A,Salazzle,Eject Pack,Oblivious,Flying,212,0,0,44,0,252,Timid,Fake Out,Acid Spray,Overheat,Encore
63,11,Regulation Set A,Hydreigon,Life Orb,Levitate,Steel,92,0,0,164,0,252,Timid,Tailwind,Dark Pulse,Flash Cannon,Protect
64,11,Regulation Set A,Gallade,Sitrus Berry,Sharpness,Psychic,244,164,44,0,4,52,Adamant,Wide Guard,Sacred Sword,Leaf Blade,Trick Room
65,11,Regulation Set A,Amoonguss,Rocky Helmet,Regenerator,Water,252,0,156,0,100,0,Bold,Spore,Pollen Puff,Protect,Rage Powder
66,12,Regulation Set A,Abomasnow,Focus Sash,Snow Warning,Water,172,0,4,252,4,76,Modest,Blizzard,Energy Ball,Aurora Veil,Protect
67,12,Regulation Set A,Cetitan,Assault Vest,Slush Rush,Water,4,252,12,0,204,36,Adamant,Icicle Crash,Liquidation,Superpower,Heavy Slam
68,12,Regulation Set A,Indeedee-F,Psychic Seed,Psychic Surge,Fairy,252,0,252,0,4,0,Bold,Dazzling Gleam,Follow Me,Helping Hand,Protect
69,12,Regulation Set A,Armarouge,Safety Goggles,Flash Fire,Dark,244,0,4,244,4,12,Modest,Trick Room,Wide Guard,Armor Cannon,Expanding Force
70,12,Regulation Set A,Hydreigon,Life Orb,Levitate,Poison,0,0,4,252,0,252,Timid,Draco Meteor,Dark Pulse,Tera Blast,Tailwind
71,12,Regulation Set A,Annihilape,Lum Berry,Defiant,Water,236,60,12,0,4,196,Adamant,Drain Punch,Rage Fist,Bulk Up,Protect
72,13,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Water,108,0,100,132,4,164,Modest,Make It Rain,Shadow Ball,Thunderbolt,Focus Blast
73,13,Regulation Set A,Murkrow,Eviolite,Prankster,Ghost,252,0,140,0,116,0,Bold,Tailwind,Haze,Foul Play,Taunt
74,13,Regulation Set A,Dragonite,Assault Vest,Inner Focus,Normal,108,252,4,0,4,140,Adamant,Extreme Speed,Dragon Claw,Low Kick,Earthquake
75,13,Regulation Set A,Hydreigon,Life Orb,Levitate,Fire,4,0,0,252,0,252,Modest,Heat Wave,Dark Pulse,Draco Meteor,Protect
76,13,Regulation Set A,Ceruledge,Clear Amulet,Flash Fire,Grass,252,116,60,0,12,68,Adamant,Bulk Up,Tera Blast,Bitter Blade,Shadow Sneak
77,13,Regulation Set A,Gengar,Focus Sash,Cursed Body,Flying,0,0,0,252,4,252,Timid,Icy Wind,Sludge Bomb,Shadow Ball,Hypnosis
78,14,Regulation Set A,Tatsugiri,Choice Scarf,Commander,Grass,0,0,0,252,4,252,Timid,Muddy Water,Draco Meteor,Soak,Icy Wind
79,14,Regulation Set A,Dondozo,Leftovers,Unaware,Grass,68,252,4,0,132,52,Adamant,Substitute,Order Up,Wave Crash,Earthquake
80,14,Regulation Set A,Sylveon,Throat Spray,Pixilate,Steel,244,0,0,252,0,12,Modest,Protect,Hyper Voice,Yawn,Quick Attack
81,14,Regulation Set A,Hydreigon,Life Orb,Levitate,Steel,0,0,0,252,4,252,Timid,Tailwind,Draco Meteor,Dark Pulse,Flash Cannon
82,14,Regulation Set A,Armarouge,Safety Goggles,Flash Fire,Dark,244,0,4,244,4,12,Modest,Trick Room,Wide Guard,Armor Cannon,Psychic
83,14,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Steel,0,252,0,0,4,252,Adamant,Fake Tears,Flower Trick,Knock Off,Trick Room
84,15,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Water,20,0,4,244,124,116,Modest,Make It Rain,Steel Beam,Shadow Ball,Psyshock
85,15,Regulation Set A,Garchomp,Clear Amulet,Rough Skin,Fire,252,156,36,0,4,60,Adamant,Rock Slide,Earthquake,Protect,Swords Dance
86,15,Regulation Set A,Maushold-Four,Wide Lens,Technician,Dark,4,252,0,0,0,252,Jolly,Follow Me,Encore,Charm,Population Bomb
87,15,Regulation Set A,Annihilape,Choice Scarf,Defiant,Normal,252,4,0,0,0,252,Jolly,Brick Break,Close Combat,Final Gambit,Shadow Claw
88,15,Regulation Set A,Murkrow,Eviolite,Prankster,Ghost,252,0,252,0,4,0,Bold,Taunt,Tailwind,Foul Play,Haze
89,15,Regulation Set A,Hydreigon,Life Orb,Levitate,Steel,4,0,0,252,0,252,Timid,Thunder Wave,Flash Cannon,Dark Pulse,Draco Meteor
90,16,Regulation Set A,Kilowattrel,Life Orb,Competitive,Steel,4,0,0,252,0,252,Timid,Protect,Thunder,Hurricane,Discharge
91,16,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Ghost,12,252,0,0,0,244,Jolly,Protect,Flower Trick,Knock Off,Grassy Terrain
92,16,Regulation Set A,Pelipper,Damp Rock,Drizzle,Ground,76,0,0,252,0,180,Modest,Hurricane,Hydro Pump,Tailwind,Wide Guard
93,16,Regulation Set A,Amoonguss,Wiki Berry,Regenerator,Water,252,0,100,0,156,0,Sassy,Rage Powder,Spore,Clear Smog,Giga Drain
94,16,Regulation Set A,Palafin,Choice Band,Zero to Hero,Grass,252,252,0,0,4,0,Adamant,Flip Turn,Jet Punch,Wave Crash,Close Combat
95,16,Regulation Set A,Gholdengo,Choice Scarf,Good as Gold,Water,52,0,0,252,0,204,Timid,Make It Rain,Shadow Ball,Dazzling Gleam,Thunderbolt
96,17,Regulation Set A,Tatsugiri-Stretchy,Choice Scarf,Commander,Dragon,0,0,4,252,0,252,Timid,Draco Meteor,Muddy Water,Dragon Pulse,Icy Wind
97,17,Regulation Set A,Dondozo,Leftovers,Unaware,Dragon,12,236,4,0,4,252,Adamant,Wave Crash,Order Up,Substitute,Protect
98,17,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Grass,4,252,0,0,0,252,Jolly,Flower Trick,Knock Off,Toxic Spikes,Protect
99,17,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Steel,4,0,4,244,4,252,Modest,Make It Rain,Shadow Ball,Power Gem,Trick
100,17,Regulation Set A,Volcarona,Rocky Helmet,Flame Body,Fire,252,0,244,4,4,4,Bold,Overheat,Struggle Bug,Rage Powder,Protect
101,17,Regulation Set A,Baxcalibur,Dragon Fang,Thermal Exchange,Steel,244,252,4,0,4,4,Adamant,Glaive Rush,Icicle Crash,Ice Shard,Protect
102,18,Regulation Set A,Armarouge,Weakness Policy,Weak Armor,Dark,116,0,12,252,4,124,Modest,Expanding Force,Armor Cannon,Wide Guard,Protect
103,18,Regulation Set A,Indeedee-F,Colbur Berry,Psychic Surge,Ghost,252,0,228,0,28,0,Calm,Psychic,Follow Me,Protect,Trick Room
104,18,Regulation Set A,Sylveon,Throat Spray,Pixilate,Fire,212,0,4,156,4,132,Modest,Hyper Voice,Tera Blast,Quick Attack,Protect
105,18,Regulation Set A,Salamence,Life Orb,Intimidate,Steel,4,252,0,0,0,252,Jolly,Dual Wingbeat,Dragon Claw,Brick Break,Tailwind
106,18,Regulation Set A,Garchomp,Assault Vest,Rough Skin,Steel,172,92,4,0,4,236,Adamant,Earthquake,Dragon Claw,Rock Slide,Stomping Tantrum
107,18,Regulation Set A,Palafin,Choice Scarf,Zero to Hero,Water,124,172,12,0,4,196,Jolly,Wave Crash,Flip Turn,Close Combat,Haze
108,19,Regulation Set A,Dondozo,Leftovers,Unaware,Grass,0,252,0,0,4,252,Adamant,Wave Crash,Ice Fang,Yawn,Protect
109,19,Regulation Set A,Dragonite,Choice Band,Multiscale,Flying,52,252,4,0,4,196,Adamant,Dragon Claw,Rock Slide,Tera Blast,Extreme Speed
110,19,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Grass,0,252,4,0,0,252,Jolly,Flower Trick,Knock Off,Sucker Punch,Protect
111,19,Regulation Set A,Tatsugiri-Stretchy,Choice Scarf,Commander,Water,0,0,4,252,0,252,Timid,Muddy Water,Draco Meteor,Icy Wind,Sleep Talk
112,19,Regulation Set A,Kingambit,Black Glasses,Defiant,Dark,236,252,4,0,12,4,Adamant,Kowtow Cleave,Low Kick,Sucker Punch,Protect
113,19,Regulation Set A,Volcarona,Rocky Helmet,Flame Body,Ghost,244,0,196,4,60,4,Bold,Overheat,Struggle Bug,Rage Powder,Protect
114,20,Regulation Set A,Tatsugiri,Choice Scarf,Storm Drain,Water,4,0,0,252,0,252,Timid,Muddy Water,Hydro Pump,Draco Meteor,Icy Wind
115,20,Regulation Set A,Dondozo,Leftovers,Unaware,Grass,140,0,116,0,252,0,Relaxed,Wave Crash,Yawn,Fissure,Protect
116,20,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Grass,4,252,0,0,0,252,Jolly,Flower Trick,Protect,Knock Off,Sucker Punch
117,20,Regulation Set A,Dragonite,Lum Berry,Multiscale,Normal,252,252,4,0,0,0,Adamant,Extreme Speed,Fire Punch,Ice Spinner,Low Kick
118,20,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Steel,4,0,0,252,0,252,Timid,Make It Rain,Shadow Ball,Thunderbolt,Power Gem
119,20,Regulation Set A,Arcanine,Sitrus Berry,Intimidate,Normal,76,252,4,0,4,172,Adamant,Flare Blitz,Extreme Speed,Close Combat,Protect
120,21,Regulation Set A,Tatsugiri-Droopy,Choice Scarf,Commander,Dragon,4,0,68,212,4,220,Modest,Muddy Water,Draco Meteor,Icy Wind,Dragon Pulse
121,21,Regulation Set A,Dondozo,Leftovers,Unaware,Flying,124,204,4,0,4,172,Adamant,Wave Crash,Tera Blast,Protect,Yawn
122,21,Regulation Set A,Glimmora,Focus Sash,Toxic Debris,Grass,4,0,0,252,0,252,Timid,Sludge Bomb,Power Gem,Earth Power,Spiky Shield
123,21,Regulation Set A,Volcarona,Choice Specs,Flame Body,Dark,116,0,20,116,4,252,Modest,Heat Wave,Overheat,Giga Drain,Struggle Bug
124,21,Regulation Set A,Dragonite,Choice Band,Multiscale,Flying,4,252,0,0,0,252,Adamant,Extreme Speed,Outrage,Tera Blast,Stomping Tantrum
125,21,Regulation Set A,Mimikyu,Life Orb,Disguise,Ghost,252,252,0,0,0,4,Adamant,Play Rough,Shadow Sneak,Protect,Curse
126,22,Regulation Set A,Dragonite,Choice Band,Multiscale,Flying,116,252,0,0,0,140,Adamant,Extreme Speed,Tera Blast,Outrage,Earthquake
127,22,Regulation Set A,Meowscarada,Focus Sash,Overgrow,Dark,0,252,4,0,0,252,Jolly,Flower Trick,Knock Off,Sucker Punch,Protect
128,22,Regulation Set A,Talonflame,Life Orb,Gale Wings,Ghost,4,252,0,0,0,252,Jolly,Brave Bird,Will-O-Wisp,Tailwind,Protect
129,22,Regulation Set A,Gholdengo,Choice Specs,Good as Gold,Water,148,0,4,252,4,100,Modest,Make It Rain,Shadow Ball,Tera Blast,Focus Blast
130,22,Regulation Set A,Dondozo,Leftovers,Unaware,Flying,116,180,0,0,0,212,Jolly,Wave Crash,Order Up,Yawn,Protect
131,22,Regulation Set A,Tatsugiri-Stretchy,Choice Scarf,Storm Drain,Dragon,0,0,4,252,0,252,Timid,Muddy Water,Draco Meteor,Dragon Pulse,Icy Wind
132,23,Regulation Set A,Volcarona,Rocky Helmet,Flame Body,Water,244,0,196,52,4,12,Bold,Struggle Bug,Overheat,Rage Powder,Protect
133,23,Regulation Set A,Meowscarada,Life Orb,Overgrow,Grass,0,252,4,0,0,252,Jolly,Flower Trick,Knock Off,Brick Break,Protect
134,23,Regulation Set A,Indeedee-F,Psychic Seed,Psychic Surge,Fairy,236,0,100,116,4,52,Modest,Dazzling Gleam,Follow Me,Imprison,Trick Room
135,23,Regulation Set A,Armarouge,Focus Sash,Weak Armor,Psychic,4,0,0,252,0,252,Modest,Expanding Force,Armor Cannon,Clear Smog,Protect
136,23,Regulation Set A,Garchomp,Clear Amulet,Rough Skin,Ground,0,252,4,0,0,252,Jolly,Dragon Claw,Stomping Tantrum,Rock Slide,Protect
137,23,Regulation Set A,Baxcalibur,Loaded Dice,Thermal Exchange,Fairy,84,252,0,0,0,172,Adamant,Glaive Rush,Ice Shard,Icicle Spear,Protect
138,24,Regulation Set A,Pelipper,Damp Rock,Drizzle,Grass,252,0,4,36,100,116,Modest,Hurricane,Hydro Pump,Tailwind,Wide Guard
139,24,Regulation Set A,Gholdengo,Leftovers,Good as Gold,Steel,108,0,4,140,4,252,Timid,Make It Rain,Shadow Ball,Nasty Plot,Protect
140,24,Regulation Set A,Amoonguss,Sitrus Berry,Regenerator,Dark,244,0,180,4,76,4,Bold,Spore,Pollen Puff,Leaf Storm,Rage Powder
141,24,Regulation Set A,Kingambit,Assault Vest,Defiant,Grass,252,196,4,0,4,52,Adamant,Kowtow Cleave,Iron Head,Sucker Punch,Low Kick
142,24,Regulation Set A,Palafin,Mystic Water,Zero to Hero,Grass,4,252,0,0,0,252,Adamant,Flip Turn,Jet Punch,Wave Crash,Haze
143,24,Regulation Set A,Salamence,Life Orb,Intimidate,Steel,4,0,4,252,4,244,Modest,Draco Meteor,Hurricane,Tailwind,Protect
144,25,Regulation Set A,Talonflame,Covert Cloak,Gale Wings,Ghost,204,20,4,0,28,252,Jolly,Taunt,Brave Bird,Tailwind,Will-O-Wisp
145,25,Regulation Set A,Sylveon,Throat Spray,Pixilate,Fire,148,0,4,212,4,140,Modest,Hyper Voice,Tera Blast,Substitute,Protect
146,25,Regulation Set A,Meowscarada,Life Orb,Overgrow,Grass,0,252,4,0,0,252,Jolly,Flower Trick,Knock Off,Protect,Sucker Punch
147,25,Regulation Set A,Glimmora,Choice Specs,Toxic Debris,Water,4,0,0,252,0,252,Timid,Power Gem,Sludge Bomb,Earth Power,Dazzling Gleam
148,25,Regulation Set A,Dondozo,Leftovers,Unaware,Flying,4,220,4,0,68,212,Jolly,Tera Blast,Earthquake,Protect,Order Up
149,25,Regulation Set A,Tatsugiri,Focus Sash,Commander,Dragon,4,0,0,252,0,252,Modest,Draco Meteor,Taunt,Muddy Water,Protect
150,26,Regulation Set A,Pelipper,Damp Rock,Drizzle,Grass,252,0,76,4,140,36,Bold,Hurricane,Hydro Pump,Tailwind,U-turn
151,26,Regulation Set A,Palafin,Choice Band,Zero to Hero,Water,244,252,0,0,0,12,Adamant,Jet Punch,Wave Crash,Close Combat,Flip Turn
152,26,Regulation Set A,Amoonguss,Eject Pack,Regenerator,Ghost,252,0,180,0,76,0,Sassy,Spore,Rage Powder,Pollen Puff,Leaf Storm
153,26,Regulation Set A,Gholdengo,Choice Scarf,Good as Gold,Steel,4,0,0,252,0,252,Modest,Make It Rain,Shadow Ball,Steel Beam,Thunder
154,26,Regulation Set A,Kingambit,Safety Goggles,Defiant,Ghost,252,116,4,0,100,36,Adamant,Kowtow Cleave,Sucker Punch,Iron Head,Protect
155,26,Regulation Set A,Dragonite,Sharp Beak,Multiscale,Flying,252,0,4,244,4,4,Modest,Hurricane,Draco Meteor,Extreme Speed,Protect
156,27,Regulation Set A,Baxcalibur,Figy Berry,Thermal Exchange,Water,188,60,12,0,68,180,Adamant,Ice Shard,Glaive Rush,Swords Dance,Protect
157,27,Regulation Set A,Salazzle,Focus Sash,Oblivious,Fire,4,0,0,252,0,252,Timid,Overheat,Sludge Bomb,Fake Out,Taunt
158,27,Regulation Set A,Tauros-Paldea-Water,Safety Goggles,Intimidate,Fire,4,244,4,0,4,252,Jolly,Raging Bull,Close Combat,Aqua Jet,Protect
159,27,Regulation Set A,Gholdengo,Sitrus Berry,Good as Gold,Flying,212,0,68,108,36,84,Modest,Make It Rain,Shadow Ball,Nasty Plot,Protect
160,27,Regulation Set A,Hydreigon,Scope Lens,Levitate,Fire,4,0,0,252,0,252,Timid,Draco Meteor,Heat Wave,Focus Energy,Protect
161,27,Regulation Set A,Amoonguss,Rocky Helmet,Regenerator,Dark,236,0,156,0,116,0,Relaxed,Rage Powder,Spore,Clear Smog,Pollen Puff
162,28,Regulation Set A,Talonflame,Covert Cloak,Gale Wings,Ghost,0,252,4,0,0,252,Jolly,Brave Bird,Will-O-Wisp,Taunt,Tailwind
163,28,Regulation Set A,Pawmot,Focus Sash,Natural Cure,Electric,4,252,0,0,0,252,Jolly,Close Combat,Double Shock,Revival Blessing,Fake Out
164,28,Regulation Set A,Gholdengo,Life Orb,Good as Gold,Steel,124,0,4,124,4,252,Timid,Protect,Make It Rain,Shadow Ball,Nasty Plot
165,28,Regulation Set A,Tatsugiri-Stretchy,Choice Scarf,Commander,Water,0,0,4,252,0,252,Timid,Muddy Water,Draco Meteor,Icy Wind,Soak
166,28,Regulation Set A,Meowscarada,Choice Band,Protean,Grass,0,252,4,0,0,252,Jolly,Flower Trick,Knock Off,Sucker Punch,U-turn
167,28,Regulation Set A,Dondozo,Leftovers,Unaware,Flying,0,252,0,0,4,252,Adamant,Protect,Wave Crash,Order Up,Tera Blast
168,29,Regulation Set A,Kingambit,Assault Vest,Defiant,Water,220,196,0,0,92,0,Adamant,Iron Head,Kowtow Cleave,Low Kick,Sucker Punch
169,29,Regulation Set A,Salazzle,Focus Sash,Oblivious,Fire,0,0,0,252,4,252,Timid,Fake Out,Sludge Bomb,Overheat,Endeavor
170,29,Regulation Set A,Amoonguss,Rocky Helmet,Regenerator,Dark,236,0,172,0,100,0,Calm,Pollen Puff,Rage Powder,Spore,Clear Smog
171,29,Regulation Set A,Mimikyu,Life Orb,Disguise,Ghost,100,236,4,0,4,164,Adamant,Shadow Sneak,Shadow Claw,Play Rough,Taunt
172,29,Regulation Set A,Baxcalibur,Wiki Berry,Thermal Exchange,Water,188,196,4,0,4,116,Adamant,Protect,Glaive Rush,Ice Shard,Swords Dance
173,29,Regulation Set A,Tauros-Paldea-Water,Mirror Herb,Intimidate,Steel,116,132,4,0,4,252,Jolly,Protect,Close Combat,Raging Bull,Aqua Jet
174,30,Regulation Set A,Hydreigon,Scope Lens,Levitate,Fire,60,0,20,236,4,188,Timid,Draco Meteor,Heat Wave,Focus Energy,Protect
175,30,Regulation Set A,Medicham,Focus Sash,Pure Power,Fighting,4,252,0,0,0,252,Adamant,Close Combat,Psycho Cut,Fake Out,Trick Room
